paper_id,figure_id,caption,figure_index,body_order_rank,explicit_ref_count,p_type,type_category,s_direct,s_link,p_layout,s_direct_pct,s_link_pct,p_layout_pct,cluster_top1_label,Proposed_rank
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,e03c8d26acaeb440cfda801514615de0c96442b7dde04fa91fa54211ab59935e,图3颜色装配问题流程图,3,3.0,1,1.5,framework,0.0159,1.0,0.5,0.2,0.4,0.4,,2
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,5e8305c76cf61e8ef98c99afab192fd7a663466b19426c2473f56393d64bff26,图29 问题三流程图,29,29.0,0,1.5,framework,0.0831,1.0,0.2038,0.8857,0.8571,0.2,,5
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,69dce85f840278539689028d0f804d7aca777ae63f7fabc31459a380f1e635dc,图9求解入射遮挡区域的流程图,9,9.0,0,1.5,framework,0.0954,0.2978,0.301,0.9714,0.0571,0.7714,,10
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,798816d6a3a0f3fb2ccd55d149614556954fa9d3899e84528fc39f14454a81c0,图1问题一流程图,1,1.0,0,1.5,framework,0.0565,1.0,1.0,0.6286,0.8571,0.9714,,1
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,8ba2e38d75eea539f39dc15879f685a63743c32e931c9924e52121f7eefbf4d3,图21 问题二流程图,21,21.0,0,1.5,framework,0.073,1.0,0.2242,0.8286,0.8571,0.4286,,4
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,179d42ddcb4793f4f87182174f6618181bafcbbf4cb81c872e5135a902fe43cf,图18：问题三算法求解流程图,18,18.0,1,1.5,framework,0.0116,1.0,0.2354,0.0455,0.8182,0.1818,,2
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,226c02af9e5f10ee542e249a33ebb11d45c833b5129b08c2b48489c4c70eeef5,图11：区域划分示意图,11,11.0,1,1.0,schematic,0.0863,0.4453,0.2789,0.9545,0.4545,0.5,,10
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,2d46f183aac17838e6d37211c82b4f201a71dd92bbfabad5af42dbed4dc08cbd,图17：“定日镜规格分区域规划策略”示意图 [8],17,17.0,1,1.0,schematic,0.0698,0.5995,0.2398,0.9091,0.7273,0.2273,,13
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,74124e754ae065300fcca3f59fa06980e4fb3cdc4f856cbf240172050f612800,图7:锥形光线离散化示意图,7,7.0,3,1.0,schematic,0.0389,0.2971,0.3333,0.6364,0.0909,0.6818,,15
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,888c253c236f3cc4af3e9a7ee29ebfca794f7d6ef5e3ee38fac41ee27a013861,图13：变步长搜索法寻找最佳定日镜场参数流程图,13,13.0,1,1.5,framework,0.0485,0.5959,0.2626,0.7727,0.6818,0.4091,,4
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,c4aee13b666b07df759f8929f9036ab3e13715dfaf3621d16e723b33cba19939,图1：镜场坐标系示意图(左图)和镜面坐标系示意图(右图),1,1.0,0,1.0,schematic,0.0238,0.3188,1.0,0.1818,0.2273,0.9545,,3
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,ee2a92f626acab83fac21aa39ea618c72b1e169f5b49bd6f67f9e51c122c7362,图5：集热器挡光阴影示意图(左图)与定日镜塔挡损失示意图(右图),5,5.0,2,1.0,schematic,0.032,0.4251,0.3869,0.5,0.4091,0.7727,,9
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,917ede45cfb31c1775a9f57ac309cd6e8013745ea25f6b2184c85373723e2c1d,图8：余弦损失的示意图,8,8.0,0,1.0,schematic,0.0152,0.2817,0.3155,0.1818,0.0,0.2727,,10
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,9242e8d13d231f69d760b69d9ab9504d208c03798d662ed5f5457963d9f38304,图4：定日镜面的坐标系,4,4.0,0,1.0,other,0.032,0.4876,0.4307,0.7273,0.2727,0.6364,,6
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,a35bdf64f163bb4ae297e117bc0ac5059b0b021c4fb00fa267c5d2de5c9852d0,图7：增音不遮挡下，定日镜的阴影遮挡损伤模型图示,7,7.0,1,1.0,schematic,0.018,1.0,0.3333,0.2727,0.5455,0.3636,,3
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,b3a5c638ec3bc96b20e6607c450ab170e796e4c7f8242c9fe1b2ed194b083d9b,图1：定日镜场的大地坐标系,1,1.0,0,1.0,other,0.0416,1.0,1.0,0.9091,0.5455,0.9091,,1
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,d6b6ff838e4318f619a25f26ce5925954243b7cc823a7274d3ca662699dd5254,图5：光椎束的坐标系（X-Y-Z）,5,5.0,0,1.0,other,0.0185,0.4466,0.3869,0.4545,0.1818,0.5455,,9
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,12eec5b5cbd4f1cc81683097a4aa07e75efa370d7b4631d1122383504c56eaeb,图1：多波束测深原理图,1,1.0,0,1.0,other,0.0252,1.0,1.0,0.0741,0.4815,0.963,,1
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,28aa0370ebe23139d6b562eca304b4ad5a613a34b65ff998ecdc17b7109e7be9,图5：相邻条带之间的重叠,5,5.0,0,1.0,other,0.0856,0.5868,0.3869,0.963,0.4074,0.8148,,12
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,505722209f9281239c24bef0122c40fa911abdbb23dadf1b724058e963f3aa6e,图17：最优测线布设求解流程,17,17.0,0,1.5,framework,0.0597,0.4827,0.2398,0.7778,0.3333,0.3704,,14
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,a1e47c97e1c9317833d5727644cdeffd35c777dbb4e3cc84e5c14e51e9f0e863,图4：覆盖宽度计算,4,4.0,0,1.0,other,0.0704,1.0,0.4307,0.8889,0.4815,0.8519,,4
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,aab331823d88069475e7b846c343818da3bcb1765188bac79c17da841416a3fd,图15：待测矩形海域,15,15.0,0,1.0,other,0.0278,0.5646,0.25,0.1481,0.3704,0.4444,,21
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,be469d28a1a90aec0fc2e4f2512f4daf341ab317ccbb267b1e68a0bcb112b1f6,图2：多波束测量坐标系的建立,2,2.0,0,1.0,other,0.0304,1.0,0.6309,0.1852,0.4815,0.9259,,2
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,d8dd23716c6f2d209b4d75c79ad8161c35e1a1cbb63d4e0f6321eccc5881ba9c,图9：问题二求解流程,9,9.0,0,1.5,framework,0.0472,1.0,0.301,0.5185,0.4815,0.6667,,13
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,fea55e5bf16ce4cd9a213e701ede7b7f71f0c1c76f27ab764c7de2e1f90c084d,图10：问题二坐标系,10,10.0,0,1.0,other,0.0307,1.0,0.2891,0.2222,0.4815,0.6296,,8
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,12dc338b3f5568f11274f353a796640e743470e11c1bbac1173cf3e84ea9632c,图4 问题2的示意图,4,4.0,0,1.0,schematic,0.0047,0.3071,0.4307,0.4545,0.0,0.6364,,11
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,c86f827b7a32cd099e5a352e3f9aa99f48b30743d172809725b1fe70a8229ba8,图8 等高线与梯度线图,8,8.0,1,1.0,other,0.0296,1.0,0.3155,0.8182,0.0909,0.2727,,10
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,f65b1a166b1284ade0225e0289f6718b43e3cb08db0088f9000751ec3c8d9e3f,图1 问题1的示意图,1,1.0,1,1.0,schematic,-0.0153,1.0,1.0,0.0909,0.0909,0.9091,,1
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,0d92d482cbbc2d6b4f0603c4c55d4d530f0b47e052ad9af070814e3639240a1f,图8 成本加成定价定义,8,8.0,0,1.0,other,0.0474,1.0,0.3155,0.8947,0.7368,0.5789,,6
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,30ebdfdc2572fc5c067acfd334b77d733d393929bf357a3e171dbd6d17f7e188,图1总体思路图,1,1.0,1,1.0,other,0.0318,0.315,1.0,0.6842,0.4737,0.9474,,3
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,c736ce025745d6df8cdb6e123bd86052005729238201665fdd82205e7b5123bc,图3六大品类蔬菜12个季度的平均销售量折线图,3,3.0,2,0.8,type_penalized,0.0421,0.5351,0.5,0.8421,0.6842,0.8421,,8
2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,2dee8bdaffdb61d3967e08e6f56be155f7d73b1f676148f3aacba9a5d6d06782,图16 问题二主体思路,16,16.0,0,1.0,other,0.0256,0.3244,0.2447,0.8077,0.4231,0.3846,,25
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,162100d9ece44fcd582ebbcf02f8d1ca31bd0e823655b8deb5a76f6aeb172755,图31．求解水道断面面积示意图,31,31.0,1,1.0,schematic,-0.0182,0.1976,0.2,0.0312,0.0,0.0312,,24
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,9898eaa95c53d9a83b3f887c78bf7f706982253fb29aaa59a241fdcdaff84b8f,图1. 本文的研究路径,1,1.0,0,1.0,other,0.0157,0.2055,1.0,0.5,0.0312,0.9688,,28
