group_name,k,n_papers,actual_budget_mean,actual_budget_median,actual_budget_p25,actual_budget_p75,actual_budget_min,actual_budget_max,compression_ratio_mean,compression_ratio_median,pool_gt_recall_micro,union_gain_mean,pairwise_pool_jaccard_mean
Q+CLIP,6,31,8.97,9.0,8.5,10.0,5,12,0.7473,0.75,0.7895,0.0702,0.3816
Q+CLIP,7,31,10.0,10.0,9.0,11.5,5,14,0.7143,0.7143,0.8316,0.0745,0.4471
Q+Dense,3,31,5.13,5.0,4.5,6.0,4,6,0.8548,0.8333,0.5053,0.0527,0.2
Q+Dense,4,31,6.68,7.0,6.0,8.0,4,8,0.8347,0.875,0.6105,0.0487,0.2347
Q+Dense,5,31,8.0,8.0,7.0,9.0,5,10,0.8,0.8,0.6737,0.0301,0.2993
Q+Dense,6,31,9.16,9.0,8.0,10.0,5,12,0.7634,0.75,0.7368,0.0409,0.3607
Q+Dense,7,31,10.32,10.0,9.0,12.0,5,14,0.7373,0.7143,0.8,0.0427,0.414
Q+L,3,31,4.77,5.0,4.0,5.0,3,6,0.7957,0.8333,0.5579,0.0447,0.3097
Q+L,4,31,6.32,6.0,5.0,7.0,4,8,0.7903,0.75,0.6947,0.0551,0.3085
Q+L,5,31,7.32,7.0,6.5,8.0,5,10,0.7323,0.7,0.7368,0.0447,0.4318
Q+L,6,31,8.68,8.0,7.5,10.0,5,12,0.7231,0.6667,0.7789,0.0511,0.4329
Q+L,7,31,9.71,9.0,8.0,11.0,5,14,0.6936,0.6429,0.8105,0.06,0.493
Q+Qcap,3,31,4.13,4.0,3.5,5.0,3,6,0.6882,0.6667,0.5368,0.0433,0.5194
Q+Qcap,4,31,5.32,5.0,4.5,6.0,4,8,0.6653,0.625,0.6526,0.0302,0.5597
Q+Qcap,5,31,6.35,6.0,6.0,7.0,5,8,0.6355,0.6,0.6737,0.0191,0.6083
Q+Qcap,6,31,7.39,7.0,6.5,8.0,5,10,0.6156,0.5833,0.7053,0.0191,0.6531
Q+Qcap,7,31,8.23,8.0,7.0,9.0,5,12,0.5876,0.5714,0.7368,0.0081,0.7135
Q+Qimg,3,31,3.97,4.0,3.5,4.0,3,5,0.6613,0.6667,0.5158,0.0226,0.5613
Q+Qimg,4,31,4.94,5.0,4.0,5.0,4,7,0.6169,0.625,0.5895,0.0105,0.6651
Q+Qimg,5,31,6.26,6.0,6.0,6.5,5,9,0.6258,0.6,0.6632,0.0255,0.6365
Q+Qimg,6,31,7.48,8.0,6.0,8.0,5,11,0.6237,0.6667,0.7158,0.0301,0.6423
Q+Qimg,7,31,8.45,8.0,7.5,9.0,5,13,0.6037,0.5714,0.7368,0.0255,0.6771
Qcap+BM25,3,31,5.03,5.0,5.0,5.5,4,6,0.8387,0.8333,0.4526,0.0296,0.2161
Qcap+BM25,4,31,6.55,7.0,6.0,7.0,4,8,0.8185,0.875,0.5579,0.0296,0.2571
Qcap+BM25,5,31,7.87,8.0,7.0,9.0,5,10,0.7871,0.8,0.6211,0.0342,0.3236
Qcap+BM25,6,31,9.06,9.0,7.5,10.0,5,12,0.7554,0.75,0.6526,0.0342,0.3726
Qcap+BM25,7,31,9.97,10.0,9.0,12.0,5,13,0.712,0.7143,0.7474,0.0729,0.4518
Qcap+CLIP,3,31,5.23,5.0,5.0,6.0,3,6,0.871,0.8333,0.5368,0.1132,0.1742
Qcap+CLIP,4,31,6.65,7.0,6.0,7.0,5,8,0.8306,0.875,0.6421,0.0906,0.224
Qcap+CLIP,5,31,7.94,8.0,7.0,9.0,5,10,0.7935,0.8,0.6842,0.0906,0.2935
Qcap+CLIP,6,31,9.19,9.0,9.0,10.0,5,12,0.7661,0.75,0.6842,0.0799,0.3533
Qcap+CLIP,7,31,10.16,10.0,9.0,11.5,5,14,0.7258,0.7143,0.7263,0.0852,0.4276
Qcap+Dense,3,31,5.32,5.0,5.0,6.0,4,6,0.8871,0.8333,0.4526,0.0804,0.1484
Qcap+Dense,4,31,6.9,7.0,6.0,8.0,4,8,0.8629,0.875,0.5474,0.032,0.1923
Qcap+Dense,5,31,8.26,8.0,7.5,9.0,5,10,0.8258,0.8,0.6105,0.032,0.2528
Qcap+Dense,6,31,9.48,10.0,8.5,11.0,5,12,0.7903,0.8333,0.6632,0.0535,0.3164
Qcap+Dense,7,31,10.55,11.0,9.0,12.0,5,14,0.7535,0.7857,0.7368,0.0599,0.3827
Qcap+L,3,31,4.94,5.0,4.0,6.0,3,6,0.8226,0.8333,0.5474,0.0465,0.271
Qcap+L,4,31,6.29,6.0,5.0,7.0,4,8,0.7863,0.75,0.6105,0.0253,0.3161
Qcap+L,5,31,7.58,8.0,6.5,9.0,5,10,0.7581,0.8,0.6632,0.0339,0.3889
Qcap+L,6,31,8.71,8.0,7.0,10.5,5,12,0.7258,0.6667,0.6947,0.0339,0.4409
Qcap+L,7,31,9.71,9.0,8.0,11.5,5,14,0.6936,0.6429,0.7368,0.0428,0.4997
Qcap+Qimg,3,31,4.13,4.0,4.0,4.5,3,6,0.6882,0.6667,0.5263,0.0248,0.5161
Qcap+Qimg,4,31,5.19,5.0,4.0,6.0,4,7,0.6492,0.625,0.6105,0.0111,0.5988
Qcap+Qimg,5,31,6.42,6.0,6.0,7.0,5,9,0.6419,0.6,0.6526,0.0218,0.5892
Qcap+Qimg,6,31,7.45,7.0,7.0,8.0,5,11,0.621,0.5833,0.6632,0.0065,0.6415
Qcap+Qimg,7,31,8.58,9.0,8.0,9.0,5,13,0.6129,0.6429,0.7158,0.004,0.648
Qimg+BM25,3,31,5.16,5.0,4.5,6.0,4,6,0.8602,0.8333,0.5474,0.0605,0.1935
